Date,Sales
2021-01-31,204.97
2021-02-28,206.8
2021-03-31,222.45
2021-04-30,238.26
2021-05-31,226.7
2021-06-30,231.44
2021-07-31,252.91
2021-08-31,246.7
2021-09-30,234.85
2021-10-31,244.3
2021-11-30,232.61
2021-12-31,230.34
2022-01-31,234.91
2022-02-28,210.98
2022-03-31,211.0
2022-04-30,221.6
2022-05-31,217.2
2022-06-30,231.89
2022-07-31,222.53
2022-08-31,221.77
2022-09-30,256.16
2022-10-31,245.99
2022-11-30,256.5
2022-12-31,249.67
2023-01-31,266.7
2023-02-28,281.22
2023-03-31,275.93
2023-04-30,297.59
2023-05-31,293.01
2023-06-30,299.92
2023-07-31,299.2
2023-08-31,324.71
2023-09-30,305.75
2023-10-31,293.97
2023-11-30,310.69
2023-12-31,287.79
